release_num,wave_rate1,aver1,median1,fft_shape_mean1,fft_mean1,SamEn1,wave_rate2,aver2,median2,fft_shape_mean2,fft_mean2,SamEn2,wave_rate3,aver3,median3,fft_shape_mean3,fft_mean3,SamEn3,wave_rate4,aver4,median4,fft_shape_mean4,fft_mean4,SamEn4,x,y
11,0.7288944303496673,2.4569195195309654,2.475321258853922,5.720461247991169,1.1212562794591414,0.5449312362525011,0.4938661497954726,2.0652065492431615,2.032361051094138,5.301131905422587,1.3374243843570794,0.3999856423435387,0.5885359593188408,2.7711557623019756,2.8928018897028256,4.450672903926376,1.8989967604144184,0.7416415304985555,0.4588287898374647,2.9372362509498733,2.9692917301757964,5.79833159648084,2.521697287122619,0.5897688261061101,4549,7618
12,0.6931815639318027,0.8280085760568893,0.7972779579583907,5.098919774605297,1.820151907584657,0.6016474656943543,0.6553432800648221,0.9449351089795465,0.9154341257972045,5.669955878678823,1.6765246672867122,0.5520284981232634,0.4968773316979997,0.5982859270220827,0.6167252208526943,5.977840586550344,1.0056029594016678,0.6518290312292142,0.721747479559532,0.36725887900957077,0.34760156545927345,4.73962474679144,0.6838578241171908,0.43671765161226894,4560,7603
13,0.6002107806421296,0.7043349938017301,0.6960648316281773,4.8784828310732,1.2272764991923097,0.5639794312231964,0.6689197563182103,1.1920083024640706,1.244985282608442,5.351731492455965,1.858303312919032,0.9314138934483757,0.7601651582496618,0.5100905158647172,0.48401487050903685,5.221258333105696,0.8624739203593191,0.6296213177367604,0.5472005289958879,0.2397920341732833,0.2305613213615176,5.669918599217007,0.665844086498048,0.6547572910083028,4571,7616
14,0.7426782846526442,0.8703144090874765,0.8148515659018523,4.440808830292225,1.626827639738951,0.600690069738027,0.5769650549779566,0.919868173990902,0.7570189398373091,5.272517565323269,1.897527251981136,0.43245325282581093,0.6021298899021141,0.7049268852387274,0.6258830928931467,4.372205947605749,1.7580440364815157,0.4154402531649839,0.6738103693743254,0.4323665521618652,0.44420264406670124,5.320319176684296,1.0019457446358013,0.5908683314395271,4557,7602
15,0.695283579371126,1.1604301776552004,1.056043948645672,5.349164684791083,1.917406561482725,0.597060301687448,0.5857979958224753,1.2509698607037876,1.2001571029162592,4.7379029919894595,2.0438261161813975,0.399410599199458,0.6649008464475806,0.9543883466769368,0.9626902622502387,5.212479405084634,1.6581483674942936,0.5913876770757132,0.5091115399305994,0.6753411830127994,0.6645515114622003,5.759307156342442,1.0882388466374802,0.49923800859360284,4556,7605
16,0.6110264742450738,0.04683267740476203,0.04129355448343825,5.932078424189957,0.16889758681896602,0.556796899529003,0.5828611063105433,0.0888350847169241,0.09032941743208688,4.738084636951592,0.2055916559062201,0.5798184952529416,0.690301797330258,8.501011625417667e-06,3.726391080221586e-06,6.684647754685835,4.78088101257653e-05,0.7731898882334816,0.4680056718673969,2.0223847123267785e-06,0.0,7.401502949255207,1.5562545891022274e-05,0.27198486245447395,4585,7602
17,0.5812696467729184,1.279777363143101,1.1117448347367234,5.50234627869664,2.148386986178952,0.5812988804233761,0.6967175199075443,1.3496455516830232,1.4037163337149685,5.385493992314728,2.5637992242056904,0.7656426825980988,0.7782460927620537,1.0936055763070431,1.1910445949194655,5.283385517882999,2.4571572691484427,0.6939405165793413,0.63260486962739,0.69129369534644,0.6387012618452559,5.508041170042692,1.646945327423033,0.5891862452565421,4556,7607
18,0.6173899689376393,3.109618739328247,3.2354583172713083,4.443014959386558,2.5462465328854753,0.5618807945662745,0.6674060215999545,2.782971213124718,2.9031512478366364,5.348880239337473,1.659025303166528,0.7009563308741098,0.48414794847317466,4.049253684761114,4.079268022883677,5.668428396058237,1.4002456686365874,0.6835777295437941,0.5140729552125136,4.979915886834471,4.8366418557753414,4.841510926350236,4.237704589658053,0.5996211225491216,4560,7631
19,0.5825512672171229,0.9567861175267006,0.9601397514187618,5.529982172522551,1.4904589079985695,0.5764795939874268,0.7178061651131593,1.0146065198793344,1.0220559958779738,4.809616671908412,1.503974304025584,0.6085679085389276,0.555356808863541,0.7225290140103089,0.6562692885723554,5.066241084060062,1.374117346344688,0.5618807945662747,0.5534873523414187,0.45426350934530113,0.4010995577804112,5.213125487957338,0.9063350902499724,0.33842430317753464,4560,7605
20,0.6305895756403028,0.8638130458933112,0.8022972018301754,5.529251116404352,1.6787176876186545,0.6880320798931747,0.571015246023764,0.9521422600198979,0.9500391495293988,4.9295862255057825,2.13306342389254,0.608988872552722,0.5876473314760293,0.6912058581006228,0.6606308909688349,5.840729133646313,1.5081320900214554,0.6518290312292138,0.7395305548774764,0.36560985753974207,0.3891270420314602,4.55790995360793,0.7505866427404503,0.5965663525541643,4559,7603
21,0.6255536869475187,3.0293443503230577,2.969151383033064,5.8722129262252105,1.9187645500892505,0.6190392084062235,0.4324137422576344,2.4340843348363843,2.4256727045664723,5.881935032239254,1.0117026689053195,0.6280890439261414,0.5633425963888811,2.882208434579607,2.778656884765698,6.457360336492621,3.0821281921866297,0.7841189587656718,0.4428007002363855,2.883614775241749,2.8554904325720294,6.292728217804978,2.2770030927373472,0.6529407600819052,4555,7623
22,0.5097260951257133,0.2519068831410726,0.24406091262565233,4.232877932412056,0.5662622453808217,0.6279281558234693,0.6522016737883118,0.34679840056890915,0.36058958725462575,5.435629967631834,0.7721430829988056,0.6303387636601567,0.7299104424327351,0.17235333676218,0.17070366312535687,4.600606110009651,0.42590522800250014,0.4423356439164918,0.7792414640013781,0.07904506777173911,0.0756288270388695,4.889889718276827,0.24384313936957527,0.4535247699286503,4571,7601
23,0.5328547969480877,2.1234267278522143,2.0084508986698,5.7035627051992295,2.118675827751073,0.5596157879354225,0.7179349030259099,2.002306475472765,1.9960492512238457,5.6278964265362,1.9240146588347329,0.72317946765882,0.5575234959977914,2.0080590307508173,2.019828825978468,5.66297126634728,3.188514723285338,0.5336793594550663,0.5620263504681291,1.5515487582464846,1.5204627509479534,5.833481689761479,2.6017039985797337,0.7231794676588205,4555,7615
24,0.6141949307118786,0.9722471300070046,1.0901209067386624,5.203937487203294,1.9633688230227808,0.6773081165301992,0.5796435716632412,1.0976826412067389,1.0209083145898676,5.065984258209441,2.1032387531799426,0.5589352843365176,0.670738907031898,0.7574620767248917,0.7467907408647364,5.643960667356798,1.6595389027828034,0.6716829418916451,0.6589912505847759,0.39086080653300226,0.3453381299033522,5.669106862189316,0.997069170033524,0.8100944451689327,4560,7607
25,0.6299766420442641,0.847046044813997,0.9107894110510802,5.876142731413924,2.1304890186768644,0.5361515486004553,0.5391187872616261,1.0336449379603179,1.0010033689824542,5.151348927538104,1.9710171678262807,0.7007172394204905,0.42941827597931287,0.7984169036275265,0.7958488023708863,5.233148118989185,1.2630846485585359,0.4724357342143477,0.5811414086354753,0.4469660710136106,0.4341897432511767,4.907723328359337,0.8820396607907773,0.5812988804233763,4559,7605
26,0.4611418203740115,1.158845279071087,1.2265740554558122,4.446247511787812,2.166159143322625,0.5194093674573818,0.5278732841835878,1.2556796743661678,1.1735585313457417,4.468151449226351,2.2212451458704305,0.41242495904322424,0.6970011202704982,0.8747930383988308,0.8458947656593426,4.393861359955085,1.7786519464943389,0.35241054515227493,0.5024924916948825,0.5166293499514047,0.49784004282814553,5.436192458878453,0.9713127774000787,0.41424479576021056,4560,7609
27,0.44283429695577536,1.4114266042045718,1.388312965834626,5.483396103171299,2.6021867355460913,0.3351812323928459,0.759782427612418,1.3900142918847016,1.3553138924791517,6.075949605640065,1.9292581493933774,0.8814034728737145,0.592381284721492,0.9865957402090936,0.9058332113546005,4.952305908431898,1.912164016255792,0.32357499551238744,0.6748566359621412,0.681796886689802,0.6842844241332762,5.090173985319448,0.9230417493261205,0.6083439192894752,4560,7611
